category,2018,2019,2020,2021,2022,Change (2018→2022)
Eye Exams,51.66,52.16,49.44,52.99,53.02,1.36
Any eye condition,50.21,51.31,45.46,49.06,49.1,-1.11
Imaging or diagnostic test,16.99,20.78,20.14,18.72,18.95,1.95
Cataract Surgery,14.83,14.61,13.65,14.29,14.13,-0.7
Cataracts,12.38,12.81,11.03,12.44,12.34,-0.03
Other Eye Disorders,10.96,11.74,10.52,11.66,12.18,1.22
Treatment for diabetic retinopathy,8.02,8.4,9.09,8.63,8.63,0.61
Treatment for age related macular degeneration,6.73,7.23,8.21,6.52,6.72,-0.01
Glaucoma,5.52,6.06,5.46,6.3,6.65,1.13
Orbital and External Disease,4.58,4.76,4.2,4.96,5.1,0.52
Age Related Macular Degeneration,3.52,3.62,3.21,3.11,2.96,-0.56
Infectious and Inflammatory Diseases,3.45,3.42,2.9,3.12,3.19,-0.26
Diabetic Eye Diseases,3.28,3.21,2.89,3.24,3.11,-0.17
Other Retinal Disorders,2.12,2.23,1.99,1.9,1.97,-0.15
Other Visual Disturbances,1.91,1.95,1.65,1.62,1.6,-0.31
Treatment for glaucoma,1.72,17.82,18.04,18.19,17.71,15.99
Cornea Disorders,1.52,1.35,1.13,1.06,0.9,-0.62
Cancer and Neoplasms of the Eye,1.09,1.22,1.09,0.93,0.97,-0.11
Disorders of Optic Nerve and Visual Pathways,1.06,1.08,0.9,0.84,0.83,-0.23
Strabismus and Amblyopia,0.96,1.01,0.88,0.83,0.86,-0.1
"Injury, Burns and Surgical Complications of the Eye",0.95,0.98,0.85,0.74,0.74,-0.21
Retinal Detachment and Defects,0.95,1.02,0.94,0.9,0.93,-0.02
Screening,0.07,0.07,0.05,0.04,0.04,-0.02
Diagnosed Blindness and Low Vision,,,,,0.26,
Disorders of Refraction and Accommodation,,,,,6.53,
Treatment for RVO,,,,26.8,22.34,
Vision Correction,,,,0.2,0.18,
